	TCGA.BF.A1PX	TCGA.EB.A431	TCGA.EB.A44N	TCGA.EB.A51B	TCGA.FS.A1ZE	TCGA.D9.A6EC	TCGA.FS.A1Z0	TCGA.BF.AAP6	TCGA.BF.AAP8	TCGA.EB.A1NK	TCGA.EB.A3HV	TCGA.EB.A4XL	TCGA.EB.A6R0	TCGA.FR.A728	TCGA.FS.A1ZA	TCGA.FS.A1ZN	TCGA.GF.A769	TCGA.D3.A8GK	TCGA.DA.A1I5	TCGA.DA.A1IA	TCGA.ER.A2ND	TCGA.FS.A1YY	TCGA.GN.A4U3	TCGA.YD.A89C
SLFN5|162394	1152	2954	731	3033	1561	989	4130	1444	309	1357	961	750	8209	2800	3824	3196	1980	357	733	966	733	3987	453	125
SNTG1|54212	14	0	0	0	0	0	13	0	0	0	0	46	0	2	0	2	58	0	0	0	0	0	0	0
SNX4|8723	1232	2083	1273	1585	2410	2909	3167	3505	628	1992	853	1859	2172	1076	2790	2395	2030	847	2435	399	1675	2652	2967	1598
SOST|50964	0	0	6	1	1	1	7	4	0	5	9	5	0	3	0	25	0	0	0	0	0	0	0	40
SP5|389058	82	13	53	113	8	42	3	0	14	3	166	15	1	19	5	13	5	5	32	64	8	19	1	0
STAT4|6775	310	16	99	61	61	12	265	28	35	41	19	101	139	118	76	33	9	0	279	4	42	6	67	163
STBD1|8987	828.72	612.38	318.12	816.13	182.32	630.47	339.74	1398.68	353	1723.76	237.73	194.17	1116.84	48	1453.57	346.7	587.51	488.31	1150.05	5	1135	177.75	893.3	50
STK32A|202374	521	408	478	580	3602	645	401	1023	1127	1930	914	530	603	402	467	9174	1218	471	257	1104	116	2525	621	202
STK38L|23012	522	2569	962	1154	3135	2923	1760	1152	673	709	429	1461	1373	447	1711	2421	1213	375	1451	138	1518	1129	893	1983
STRADB|55437	3268	947	864	1975	815	2692	1944	2424	7198	2478	791	741	1031	2236	680	1799	1630	1623	1929	1608	28	3108	5307	1611
STXBP4|252983	110	332	136	169	433	294	463	220	130	253	58	160	279	217	1019	496	595	134	117	46	204	432	198	229
TLE6|79816	5	30	7	18	7	187	2	44	49	224	49	3	5	68	140	35	513	193	3	255	27	235	188	0
TLR5|7100	307	20	129	19	64	183	141	35	75	97	204	88	20	65	707	83	274	34	126	143	85	56	159	30
TM6SF1|53346	183	218	92	95	136	69	354	122	105	59	85	97	157	154	162	349	144	13	300	16	61	134	130	397
TMC1|117531	1	6	3	3	0	1	2	0	0	1	0	2	1	3	17	2	3	0	0	0	4	0	1	3
TMEM107|84314	1109	743	352	442	624	1873	584	649	161	902	934	363	858	751	932	575	1270	480	639	886	593	837	659	206
TMEM135|65084	838	882	346	1386	752	1023	2117	2561	1757	1364	476	607	2751	844	935	1394	1163	921	772	189	645	1491	494	726
TUSC5|286753	2	0	0	2	58	0	5	1	1	2	2	2	1	1	25	0	1	0	0	2	4	78	0	0
TXNRD2|10587	2303	1391	872	1037	1657	1753	1268	1824	1677	3881	1815	1193	1535	1831	1682	1932	1229	619	1514	2919	2653	11150	769	1635
UBD|10537	7173	274	1033	12595	285	677	9459	373	354	291	103	1937	11218	2564	2194	302	20	42	2661	150	215	54	72	178
UBE2Q2P1|388165	12	23	27	41	19	15	14	25	25	8	17	47	66	32	70	57	83	11	1	2	22	31	81	69
ZIM2|23619	0	3	0	58.02	87.62	0	36.89	0	0	0	0	1	0	1.14	1.22	0	0	0	0	2	0	0	0	0
ZNF101|94039	314	169	153	205	249	232	444	334	158	165	153	147	482	207	360	341	190	133	283	67	215	276	197	132
